author_name,author_url,author_average_rating,author_number_of_people_read,author_number_of_people_wants_to_read,author_date_of_birth,author_number_of_fans,author_number_of_books_written,author_number_of_awards
Winston Graham,https://lubimyczytac.pl/autor/19518/winston-graham,7.3,1860,5756,30.06.1910,88,18,0
Aleksandra Kondraciuk,https://lubimyczytac.pl/autor/242999/aleksandra-kondraciuk,6.6,1731,1516,30.06.1910,77,4,0
Patrick Radden Keefe,https://lubimyczytac.pl/autor/115348/patrick-radden-keefe,8.6,2155,4498,przybliżona),12,4,0
Kamil Janicki,https://lubimyczytac.pl/autor/32678/kamil-janicki,7.1,6308,15959,przybliżona),193,29,0
Łukasz Barys,https://lubimyczytac.pl/autor/201722/lukasz-barys,6.2,1709,1372,przybliżona),17,5,1
Shaun Bythell,https://lubimyczytac.pl/autor/152226/shaun-bythell,7.4,1556,1183,przybliżona),9,4,0
Joanna Glogaza,https://lubimyczytac.pl/autor/110654/joanna-glogaza,6.8,2611,2437,przybliżona),16,6,0
Maria Paszyńska,https://lubimyczytac.pl/autor/113128/maria-paszynska,7.8,4299,10318,przybliżona),223,37,0
Gustave Le Bon,https://lubimyczytac.pl/autor/30406/gustave-le-bon,7.0,1682,2772,07.05.1841,19,3,0
Diane Chamberlain,https://lubimyczytac.pl/autor/47690/diane-chamberlain,7.4,5914,18359,18.03.1950,574,27,0
Anna Rybakiewicz,https://lubimyczytac.pl/autor/241876/anna-rybakiewicz,8.0,2764,2411,18.03.1950,145,13,0
Pittacus Lore,https://lubimyczytac.pl/autor/45968/pittacus-lore,7.4,1836,5872,12.09.1969,76,44,0
Auður Ava Ólafsdóttir,https://lubimyczytac.pl/autor/58492/audur-ava-olafsdottir,6.8,1512,1702,01.01.1958,8,6,0
Sylwia Winnik,https://lubimyczytac.pl/autor/153824/sylwia-winnik,7.6,2815,3739,01.01.1958,56,18,0
A.J. Gabryel,https://lubimyczytac.pl/autor/70048/a-j-gabryel,6.4,2500,2291,01.01.1958,34,4,0
Carley Fortune,https://lubimyczytac.pl/autor/241178/carley-fortune,7.3,1880,2307,01.01.1958,37,4,0
Sarah McCoy,https://lubimyczytac.pl/autor/105039/sarah-mccoy,7.3,2438,2199,14.04.1980,15,4,0
Jason Matthews,https://lubimyczytac.pl/autor/102447/jason-matthews,7.2,1636,1665,14.04.1980,38,3,0
Yeonmi Park,https://lubimyczytac.pl/autor/115642/yeonmi-park,8.3,1579,2519,04.10.1993,6,3,0
Anna Sólyom,https://lubimyczytac.pl/autor/237046/anna-solyom,6.4,1494,415,04.10.1993,6,1,0
Edith Wharton,https://lubimyczytac.pl/autor/16042/edith-wharton,7.2,2462,4958,24.01.1862,42,34,1
Nina Majewska-Brown,https://lubimyczytac.pl/autor/112393/nina-majewska-brown,7.2,4878,9046,24.01.1862,108,27,1
Henry David Thoreau,https://lubimyczytac.pl/autor/31799/henry-david-thoreau,7.3,2156,6043,12.07.1817,159,13,0
Edward Falco,https://lubimyczytac.pl/autor/66673/edward-falco,7.8,1533,1665,12.07.1817,0,1,0
Alison Goodman,https://lubimyczytac.pl/autor/31233/alison-goodman,7.7,1751,1500,12.07.1817,47,7,0
Susan Hill,https://lubimyczytac.pl/autor/19638/susan-hill,6.9,2488,3001,05.02.1942,34,34,0
Paolo Giordano,https://lubimyczytac.pl/autor/31355/paolo-giordano,7.2,1624,1898,19.12.1982,17,5,0
Ruth Lillegraven,https://lubimyczytac.pl/autor/177634/ruth-lillegraven,6.0,1672,1198,19.12.1982,11,5,0
Michael Ondaatje,https://lubimyczytac.pl/autor/23445/michael-ondaatje,5.9,1777,1454,12.09.1943,19,8,0
Ann Patchett,https://lubimyczytac.pl/autor/24068/ann-patchett,7.0,3340,5151,02.12.1963,95,12,1
Harriet Beecher Stowe,https://lubimyczytac.pl/autor/10302/harriet-beecher-stowe,8.0,1714,1133,14.06.1811,9,5,1
Renee Carlino,https://lubimyczytac.pl/autor/103920/renee-carlino,6.2,1930,1857,14.06.1811,47,10,0
Ted Chiang,https://lubimyczytac.pl/autor/18240/ted-chiang,6.7,2677,4591,20.10.1967,88,12,0
David Grann,https://lubimyczytac.pl/autor/32000/david-grann,7.1,2274,3983,10.03.1967,20,5,0
Peter Hedges,https://lubimyczytac.pl/autor/31827/peter-hedges,6.2,1802,1473,06.07.1962,6,3,0
Edyta Prusinowska,https://lubimyczytac.pl/autor/215519/edyta-prusinowska,6.9,2679,2965,17.09.2000,121,4,0
Anne Brontë,https://lubimyczytac.pl/autor/17330/anne-bronte,7.8,2367,3549,17.01.1820,109,7,0
Leszek Herman,https://lubimyczytac.pl/autor/116559/leszek-herman,7.3,2322,3432,17.01.1820,208,12,0
Izabela Kuna,https://lubimyczytac.pl/autor/41834/izabela-kuna,4.8,1624,430,25.11.1970,4,2,0
S. C. Ransom,https://lubimyczytac.pl/autor/49890/s-c-ransom,7.1,1764,2391,25.11.1970,48,3,0
Jacqueline Harpman,https://lubimyczytac.pl/autor/195480/jacqueline-harpman,7.3,1482,1826,05.07.1929,3,1,0
Min Jin Lee,https://lubimyczytac.pl/autor/141001/min-jin-lee,7.7,1445,2007,11.07.1968,8,2,0
Pan Buk,https://lubimyczytac.pl/autor/168786/pan-buk,7.1,1972,818,11.07.1968,9,3,0
Chris Columbus,https://lubimyczytac.pl/autor/91254/chris-columbus,7.5,1861,1578,10.09.1958,17,4,0
Frédéric Bastiat,https://lubimyczytac.pl/autor/636/frederic-bastiat,7.7,1687,2894,30.06.1801,83,16,0
Amie Kaufman,https://lubimyczytac.pl/autor/91655/amie-kaufman,7.6,3053,9063,30.06.1801,29,14,0
Kass Morgan,https://lubimyczytac.pl/autor/93451/kass-morgan,6.5,1720,3173,30.06.1801,39,7,0
Nina Olszewska,https://lubimyczytac.pl/autor/192569/nina-olszewska,6.6,1512,877,30.06.1801,3,1,0
Erik Axl Sund,https://lubimyczytac.pl/autor/94986/erik-axl-sund,6.6,2047,2891,30.06.1801,59,7,0
Sheryl Browne,https://lubimyczytac.pl/autor/177718/sheryl-browne,6.6,1945,1071,30.06.1801,15,4,0
Siddhartha Mukherjee,https://lubimyczytac.pl/autor/57624/siddhartha-mukherjee,8.1,1898,5666,21.07.1970,48,4,1
Lisa Desrochers,https://lubimyczytac.pl/autor/55771/lisa-desrochers,7.2,2154,2527,21.07.1970,53,8,0
Megan Campisi,https://lubimyczytac.pl/autor/192270/megan-campisi,7.3,1365,1682,21.07.1970,8,1,0
Garth Nix,https://lubimyczytac.pl/autor/19410/garth-nix,6.6,3294,5967,17.09.1963,92,52,0
Leonardo Patrignani,https://lubimyczytac.pl/autor/84230/leonardo-patrignani,6.5,1616,5061,przybliżona),40,3,0
Adam Faber,https://lubimyczytac.pl/autor/144881/adam-faber,7.1,2207,6692,07.01.1993,81,13,0
Anthony Kiedis,https://lubimyczytac.pl/autor/31487/anthony-kiedis,7.8,1527,644,01.11.1962,6,3,0
Megan Hart,https://lubimyczytac.pl/autor/46599/megan-hart,6.6,3563,4958,01.11.1962,141,13,0
Suzanne Young,https://lubimyczytac.pl/autor/83343/suzanne-young,7.2,2222,5218,01.11.1962,59,13,0
Krzysztof Varga,https://lubimyczytac.pl/autor/23454/krzysztof-varga,6.5,5159,7240,21.03.1968,186,32,0
Wisława Szymborska,https://lubimyczytac.pl/autor/14851/wislawa-szymborska,7.6,7749,12926,02.07.1923,1385,92,0
Anna Mularczyk-Meyer,https://lubimyczytac.pl/autor/102631/anna-mularczyk-meyer,6.2,1752,1061,przybliżona),7,2,0
Mari Jungstedt,https://lubimyczytac.pl/autor/38204/mari-jungstedt,6.6,2876,4436,31.10.1962,108,20,0
Joe Querio,https://lubimyczytac.pl/autor/100737/joe-querio,6.2,1621,615,31.10.1962,2,12,0
Ava Dellaira,https://lubimyczytac.pl/autor/98356/ava-dellaira,6.9,1700,1798,31.10.1962,17,2,0
Kinga Litkowiec,https://lubimyczytac.pl/autor/187553/kinga-litkowiec,7.3,5129,7400,31.10.1962,227,48,0
Mark Manson,https://lubimyczytac.pl/autor/139569/mark-manson,7.3,1982,2212,09.03.1984,7,4,0
Cody McFadyen,https://lubimyczytac.pl/autor/19971/cody-mcfadyen,7.3,1776,2855,13.02.1968,126,5,0
Michel Faber,https://lubimyczytac.pl/autor/17073/michel-faber,6.2,2898,4761,13.04.1960,85,13,0
Christelle Dabos,https://lubimyczytac.pl/autor/187836/christelle-dabos,7.3,1474,3061,przybliżona),65,5,0
Katarzyna Bester,https://lubimyczytac.pl/autor/185601/katarzyna-bester,7.3,3999,3134,przybliżona),113,22,0
Michel Bussi,https://lubimyczytac.pl/autor/97079/michel-bussi,6.7,3940,5441,29.04.1965,105,21,0
A.S. Sivar,https://lubimyczytac.pl/autor/174422/a-s-sivar,7.5,2411,1935,14.04.1993,70,8,0
Oyinkan Braithwaite,https://lubimyczytac.pl/autor/175782/oyinkan-braithwaite,6.0,1445,1925,21.03.1988,2,2,0
Tara Westover,https://lubimyczytac.pl/autor/167050/tara-westover,8.2,1434,2795,przybliżona),7,1,0
Ellen Alpsten,https://lubimyczytac.pl/autor/54044/ellen-alpsten,6.9,1613,1576,przybliżona),13,6,0
Michelle Falkoff,https://lubimyczytac.pl/autor/113870/michelle-falkoff,6.6,1787,1933,przybliżona),10,3,0
Victoria Hislop,https://lubimyczytac.pl/autor/4515/victoria-hislop,6.9,1934,2421,01.01.1959,40,8,0
Robert Dugoni,https://lubimyczytac.pl/autor/19151/robert-dugoni,7.2,2015,3356,17.02.1961,68,20,0
Maria Mazurek,https://lubimyczytac.pl/autor/110202/maria-mazurek,7.8,3870,6044,17.02.1961,6,14,0
Linda Antonsson,https://lubimyczytac.pl/autor/99216/linda-antonsson,8.1,1696,1915,17.02.1961,1,2,0
Anders de la Motte,https://lubimyczytac.pl/autor/72573/anders-de-la-motte,7.0,2059,3522,01.01.1971,57,11,0
M.C. Beaton,https://lubimyczytac.pl/autor/56279/m-c-beaton,6.7,2383,5932,01.01.1936,89,74,0
Jarosław Iwaszkiewicz,https://lubimyczytac.pl/autor/16041/jaroslaw-iwaszkiewicz,7.1,7507,10724,20.02.1894,340,204,0
Stuart Turton,https://lubimyczytac.pl/autor/165850/stuart-turton,6.8,6538,6503,20.02.1894,112,3,0
Keri Smith,https://lubimyczytac.pl/autor/53587/keri-smith,6.9,1976,1228,20.02.1894,31,18,0
Andrzej Szczypiorski,https://lubimyczytac.pl/autor/24600/andrzej-szczypiorski,6.6,2527,1654,03.02.1928,29,28,0
Leslie Wolfe,https://lubimyczytac.pl/autor/260374/leslie-wolfe,7.3,1458,310,03.02.1928,8,2,0
Marcin Margielewski,https://lubimyczytac.pl/autor/176409/marcin-margielewski,7.4,3543,3963,03.02.1928,143,21,0
Matthew Gregory Lewis,https://lubimyczytac.pl/autor/31614/matthew-gregory-lewis,6.8,1486,1774,09.07.1775,17,2,0
Lidia Helena Zelman,https://lubimyczytac.pl/autor/47053/lidia-helena-zelman,7.1,1764,2785,09.07.1775,53,3,0
Bogdan Wojciszke,https://lubimyczytac.pl/autor/32447/bogdan-wojciszke,6.6,2268,4513,09.07.1775,59,12,0
Caroline Kepnes,https://lubimyczytac.pl/autor/111544/caroline-kepnes,6.4,1584,1891,10.11.1976,15,4,0
Michael Punke,https://lubimyczytac.pl/autor/104246/michael-punke,6.8,1469,1133,10.11.1976,2,1,0
Julian Ursyn Niemcewicz,https://lubimyczytac.pl/autor/17523/julian-ursyn-niemcewicz,7.1,2695,812,16.02.1758,6,36,0
Marta Szarejko,https://lubimyczytac.pl/autor/39417/marta-szarejko,6.8,2930,3561,16.02.1758,16,12,0
James Rollins,https://lubimyczytac.pl/autor/34754/james-rollins,7.2,4842,13253,20.08.1961,405,38,0
Christopher Isherwood,https://lubimyczytac.pl/autor/19793/christopher-isherwood,6.7,1781,2020,26.08.1904,26,12,0
Ryszard Ćwirlej,https://lubimyczytac.pl/autor/31361/ryszard-cwirlej,7.0,7729,14278,01.11.1964,446,40,1
Lauren Barnholdt,https://lubimyczytac.pl/autor/43370/lauren-barnholdt,6.7,1937,1377,01.11.1964,20,12,0
Grzegorz Brzozowicz,https://lubimyczytac.pl/autor/33652/grzegorz-brzozowicz,6.5,1921,762,01.01.1960,2,6,0
James David Vance,https://lubimyczytac.pl/autor/152989/james-david-vance,6.7,1402,1546,02.08.1984,2,1,0
Alessandro Baricco,https://lubimyczytac.pl/autor/14245/alessandro-baricco,7.0,1941,2814,25.01.1958,80,13,0
Klaudia Bianek,https://lubimyczytac.pl/autor/178544/klaudia-bianek,7.3,3965,5615,25.01.1958,228,26,0
Jess Rothenberg,https://lubimyczytac.pl/autor/66756/jess-rothenberg,7.1,1703,1915,25.01.1958,32,2,0
Anna Gacek,https://lubimyczytac.pl/autor/214552/anna-gacek,7.1,1424,828,25.01.1958,6,1,0
J. J. McAvoy,https://lubimyczytac.pl/autor/109173/j-j-mcavoy,7.5,1722,2449,25.01.1958,61,17,0
Anna Fifield,https://lubimyczytac.pl/autor/182233/anna-fifield,7.5,1409,1391,25.01.1958,2,1,0
Gemma Malley,https://lubimyczytac.pl/autor/37101/gemma-malley,7.0,1543,2636,25.01.1958,32,6,0
Kimberly Belle,https://lubimyczytac.pl/autor/143377/kimberly-belle,7.1,2515,1469,20.02.1968,36,5,0
Artur Nowak,https://lubimyczytac.pl/autor/154424/artur-nowak,6.8,4227,5256,16.05.1974,27,16,0
Marshall B. Rosenberg,https://lubimyczytac.pl/autor/12796/marshall-b-rosenberg,7.4,1674,4745,06.10.1934,51,11,0
Pepper Winters,https://lubimyczytac.pl/autor/91609/pepper-winters,6.8,2295,5008,06.10.1934,105,38,0
Elaine N. Aron,https://lubimyczytac.pl/autor/99991/elaine-n-aron,7.1,1788,3040,przybliżona),23,6,0
Sherry Jones,https://lubimyczytac.pl/autor/25753/sherry-jones,6.7,1655,1190,przybliżona),9,3,0
John Wyndham,https://lubimyczytac.pl/autor/30201/john-wyndham,6.4,2404,3366,10.07.1903,27,28,0
Marc Levy,https://lubimyczytac.pl/autor/20895/marc-levy,6.4,4167,4723,16.10.1961,149,35,0
Lilian Jackson Braun,https://lubimyczytac.pl/autor/19729/lilian-jackson-braun,6.5,2127,4315,30.06.1913,49,31,0
Agnieszka Pajączkowska,https://lubimyczytac.pl/autor/174521/agnieszka-pajaczkowska,6.9,2328,1915,przybliżona),13,3,0
S.C. Stephens,https://lubimyczytac.pl/autor/73387/s-c-stephens,7.3,1624,2423,przybliżona),44,7,0
Olivia Beirne,https://lubimyczytac.pl/autor/192099/olivia-beirne,7.0,1410,774,przybliżona),7,2,0
Katarzyna Misiołek,https://lubimyczytac.pl/autor/105684/katarzyna-misiolek,8.0,4759,10075,przybliżona),474,29,0
Kacen Callender,https://lubimyczytac.pl/autor/192385/kacen-callender,7.6,1376,1412,przybliżona),5,6,0
Mark Wolynn,https://lubimyczytac.pl/autor/146081/mark-wolynn,6.2,1494,2726,przybliżona),12,1,0
Nicole Sochacki-Wójcicka,https://lubimyczytac.pl/autor/139168/nicole-sochacki-wojcicka,6.0,1862,402,przybliżona),15,7,0
Gillian Shields,https://lubimyczytac.pl/autor/32369/gillian-shields,7.6,1681,1391,przybliżona),43,5,0
Salman Rushdie,https://lubimyczytac.pl/autor/17384/salman-rushdie,7.1,3906,11546,19.06.1947,171,25,0
Anna Langner,https://lubimyczytac.pl/autor/183895/anna-langner,6.9,7209,7445,19.06.1947,231,31,0
Julita Bator,https://lubimyczytac.pl/autor/88999/julita-bator,7.0,1746,2119,19.06.1947,14,6,0
Dorotea de Spirito,https://lubimyczytac.pl/autor/39440/dorotea-de-spirito,5.6,1616,892,19.06.1947,26,3,0
Lene Wold,https://lubimyczytac.pl/autor/186928/lene-wold,7.5,1482,1308,19.06.1947,1,1,0
Grażyna Plebanek,https://lubimyczytac.pl/autor/17075/grazyna-plebanek,6.0,5363,6558,01.01.1967,141,22,0
Monika Jaruzelska,https://lubimyczytac.pl/autor/69204/monika-jaruzelska,6.4,1920,1109,01.01.1967,43,4,0
Adam Ostrowski,https://lubimyczytac.pl/autor/179844/adam-ostrowski,6.4,1493,224,15.05.1980,4,1,0
Piotr Górski,https://lubimyczytac.pl/autor/30502/piotr-gorski,7.1,2222,3628,przybliżona),171,13,0
Dennis E. Taylor,https://lubimyczytac.pl/autor/152985/dennis-e-taylor,6.6,1431,2510,przybliżona),42,10,0
Keigo Higashino,https://lubimyczytac.pl/autor/79068/keigo-higashino,7.4,1420,1234,04.02.1958,12,12,0
Waldemar Łysiak,https://lubimyczytac.pl/autor/4923/waldemar-lysiak,7.2,6633,12182,08.03.1944,679,75,0
Megan Maxwell,https://lubimyczytac.pl/autor/95979/megan-maxwell,7.1,1935,3445,01.01.1965,110,15,0
Alice Munro,https://lubimyczytac.pl/autor/41096/alice-munro,6.6,6846,11138,10.07.1931,359,20,0
Aurora Rose Reynolds,https://lubimyczytac.pl/autor/92972/aurora-rose-reynolds,7.0,1725,2945,10.07.1931,116,51,0
Mons Kallentoft,https://lubimyczytac.pl/autor/36285/mons-kallentoft,7.0,2944,7636,15.04.1968,210,19,0
Edmund de Amicis,https://lubimyczytac.pl/autor/31826/edmund-de-amicis,6.5,1858,747,21.10.1846,7,10,0
Aleksandra Zbroja,https://lubimyczytac.pl/autor/174522/aleksandra-zbroja,6.6,2906,2132,21.10.1846,13,7,0
Sylwia Chutnik,https://lubimyczytac.pl/autor/30446/sylwia-chutnik,6.6,7948,10990,12.07.1979,193,44,1
Aleksandra Ruda,https://lubimyczytac.pl/autor/35061/aleksandra-ruda,7.7,1797,2627,12.07.1979,223,8,0
Kerry Fisher,https://lubimyczytac.pl/autor/168042/kerry-fisher,7.3,1896,1490,12.07.1979,33,5,0
Edyta Świętek,https://lubimyczytac.pl/autor/76607/edyta-swietek,7.4,4510,11317,18.12.1975,283,68,0
Jessica Townsend,https://lubimyczytac.pl/autor/169975/jessica-townsend,8.5,1434,1744,18.12.1975,51,4,0
Marcin Michalski,https://lubimyczytac.pl/autor/50227/marcin-michalski,8.1,1504,1515,01.01.1982,4,7,0
C.S. Pacat,https://lubimyczytac.pl/autor/106696/c-s-pacat,7.4,1513,2746,01.01.1982,56,19,0
Jerzy Bralczyk,https://lubimyczytac.pl/autor/5213/jerzy-bralczyk,5.9,3943,7746,23.05.1947,120,45,0
James Jones,https://lubimyczytac.pl/autor/31255/james-jones,7.1,2688,4212,06.11.1921,79,10,0
Anthony Robbins,https://lubimyczytac.pl/autor/9597/anthony-robbins,7.0,1770,3700,29.02.1960,61,8,0
Kiersten White,https://lubimyczytac.pl/autor/37707/kiersten-white,6.5,4744,7077,29.02.1960,37,25,0
Magdalena Majcher,https://lubimyczytac.pl/autor/128531/magdalena-majcher,7.3,7447,11650,13.09.1990,281,41,0
Jennifer Probst,https://lubimyczytac.pl/autor/79174/jennifer-probst,6.6,2363,3441,13.09.1990,109,13,0
Charlie Mackesy,https://lubimyczytac.pl/autor/184731/charlie-mackesy,8.5,1545,1211,13.09.1990,13,2,0
David Allen,https://lubimyczytac.pl/autor/10084/david-allen,7.3,1594,3211,28.12.1945,21,12,0
Michelle Paver,https://lubimyczytac.pl/autor/3307/michelle-paver,7.4,2932,3794,07.09.1960,131,20,0
M.M. Perr,https://lubimyczytac.pl/autor/199661/m-m-perr,7.0,2214,1612,07.09.1960,113,7,0
Durian Sukegawa,https://lubimyczytac.pl/autor/152975/durian-sukegawa,6.8,1392,2154,17.06.1962,8,3,0
James Fenimore Cooper,https://lubimyczytac.pl/autor/22622/james-fenimore-cooper,6.6,2169,2169,15.09.1789,45,18,1
Keri Arthur,https://lubimyczytac.pl/autor/46637/keri-arthur,6.9,1767,4222,15.09.1789,108,50,0
Kristin Cashore,https://lubimyczytac.pl/autor/49604/kristin-cashore,6.9,1753,3418,15.09.1789,41,6,0
Yvonne Woon,https://lubimyczytac.pl/autor/38001/yvonne-woon,7.4,1647,1514,21.11.1984,77,3,0
Elizabeth Flock,https://lubimyczytac.pl/autor/32534/elizabeth-flock,6.1,2094,1799,21.11.1984,28,5,0
Morgan Housel,https://lubimyczytac.pl/autor/201057/morgan-housel,7.5,1469,2555,21.11.1984,2,3,0
Kel Kade,https://lubimyczytac.pl/autor/153494/kel-kade,7.5,1632,3524,21.11.1984,68,9,0
Brian Bolland,https://lubimyczytac.pl/autor/64662/brian-bolland,7.1,1667,476,26.03.1951,7,27,0
Brodi Ashton,https://lubimyczytac.pl/autor/56682/brodi-ashton,7.0,2213,4090,26.03.1951,23,9,0
Ito Ogawa,https://lubimyczytac.pl/autor/175249/ito-ogawa,7.7,1395,1639,26.03.1951,12,2,0
David Jessel,https://lubimyczytac.pl/autor/31755/david-jessel,6.7,1628,1070,26.03.1951,1,2,0
John Corey Whaley,https://lubimyczytac.pl/autor/97949/john-corey-whaley,4.0,1561,1991,19.01.1984,9,2,0
Liliana Fabisińska,https://lubimyczytac.pl/autor/6234/liliana-fabisinska,7.4,6922,8217,16.02.1971,137,121,0
Anne Applebaum,https://lubimyczytac.pl/autor/21655/anne-applebaum,6.6,4136,6072,25.07.1964,87,12,0
Hanka Lemańska,https://lubimyczytac.pl/autor/20221/hanka-lemanska,6.2,1749,875,30.10.1959,8,5,0
Louise Rennison,https://lubimyczytac.pl/autor/7078/louise-rennison,6.8,2070,886,29.02.2016,66,13,0
Robert McLiam Wilson,https://lubimyczytac.pl/autor/24784/robert-mcliam-wilson,7.5,1774,1346,01.01.1964,74,4,0
Weronika Plota,https://lubimyczytac.pl/autor/244974/weronika-plota,8.1,1574,3059,01.01.1964,140,7,0
Urszula Jabłońska,https://lubimyczytac.pl/autor/101457/urszula-jablonska,6.8,2091,2375,01.01.1964,2,5,0
Liza Marklund,https://lubimyczytac.pl/autor/13984/liza-marklund,6.6,4107,7603,09.09.1962,196,19,0
Claudia Gray,https://lubimyczytac.pl/autor/33338/claudia-gray,7.5,5931,8678,12.06.1970,123,29,0
Joanna Fabicka,https://lubimyczytac.pl/autor/6269/joanna-fabicka,6.8,3748,3482,przybliżona),66,19,0
Nora Roberts,https://lubimyczytac.pl/autor/14066/nora-roberts,6.9,16774,52698,10.10.1950,1611,269,0
Laura Esquivel,https://lubimyczytac.pl/autor/25712/laura-esquivel,6.1,1553,1395,30.09.1950,14,4,0
Sebastien de Castell,https://lubimyczytac.pl/autor/143899/sebastien-de-castell,7.3,1472,5072,30.09.1950,58,12,0
Christina Henry,https://lubimyczytac.pl/autor/98552/christina-henry,7.3,1437,2736,30.09.1950,17,18,0
Carian Cole,https://lubimyczytac.pl/autor/168345/carian-cole,7.3,1780,1335,30.09.1950,64,11,0
A. Meredith Walters,https://lubimyczytac.pl/autor/125926/a-meredith-walters,6.9,1580,2459,30.09.1950,35,17,0
Edith Nesbit,https://lubimyczytac.pl/autor/30745/edith-nesbit,7.2,2682,1585,15.08.1858,24,34,0
Alexandra Ivy,https://lubimyczytac.pl/autor/37890/alexandra-ivy,7.7,1832,4644,15.08.1858,135,36,0
Kōji Suzuki,https://lubimyczytac.pl/autor/30128/k-ji-suzuki,5.8,1541,1376,13.05.1957,16,11,0
Scott Westerfeld,https://lubimyczytac.pl/autor/6110/scott-westerfeld,6.6,2131,4187,05.05.1963,50,19,0
Berenika Lenard,https://lubimyczytac.pl/autor/116732/berenika-lenard,7.1,1664,2667,05.05.1963,4,5,0
Roland Lazenby,https://lubimyczytac.pl/autor/105404/roland-lazenby,7.8,1605,1395,05.05.1963,8,4,0
Patrick deWitt,https://lubimyczytac.pl/autor/77206/patrick-dewitt,6.8,1555,1145,06.03.1975,16,4,0
Michelle Zink,https://lubimyczytac.pl/autor/22596/michelle-zink,6.5,1568,1959,06.03.1975,46,5,0
Kelly Oram,https://lubimyczytac.pl/autor/111043/kelly-oram,6.7,1389,1240,05.03.1981,34,9,0
Gary Chapman,https://lubimyczytac.pl/autor/8395/gary-chapman,6.6,1845,2616,05.03.1981,25,31,0
Jørn Lier Horst,https://lubimyczytac.pl/autor/102669/jorn-lier-horst,7.6,4486,9694,27.02.1970,286,68,0
Krystyna Mirek,https://lubimyczytac.pl/autor/58278/krystyna-mirek,7.2,10121,19786,27.02.1970,566,75,0
Micah Sparks,https://lubimyczytac.pl/autor/17180/micah-sparks,7.1,1623,1630,27.02.1970,1,1,0
Paweł Smoleński,https://lubimyczytac.pl/autor/16757/pawel-smolenski,6.8,4651,11083,07.07.1959,108,29,0
Piotr Adamczyk,https://lubimyczytac.pl/autor/72428/piotr-adamczyk,7.2,2415,3685,29.06.1958,178,4,0
Yana Toboso,https://lubimyczytac.pl/autor/57821/yana-toboso,7.9,1876,3717,24.01.1984,135,43,0
Michael Mosley,https://lubimyczytac.pl/autor/83551/michael-mosley,7.1,1660,2191,22.03.1957,12,6,0
Pierce Brown,https://lubimyczytac.pl/autor/97478/pierce-brown,7.9,1449,4905,22.03.1957,56,8,0
Ichirō Kishimi,https://lubimyczytac.pl/autor/143933/ichir-kishimi,7.3,1403,3888,22.03.1957,3,2,0
Natalia Kołaczek,https://lubimyczytac.pl/autor/139264/natalia-kolaczek,6.7,1395,1082,przybliżona),6,1,0
Janusz Christa,https://lubimyczytac.pl/autor/21596/janusz-christa,7.5,2516,2477,19.07.1934,124,120,0
Victoria Scott,https://lubimyczytac.pl/autor/92283/victoria-scott,7.2,1642,4178,01.02.1982,49,6,0
Matthew Skelton,https://lubimyczytac.pl/autor/6411/matthew-skelton,7.2,1566,262,01.02.1982,11,2,0
Eric Berne,https://lubimyczytac.pl/autor/10395/eric-berne,5.8,1663,4291,01.02.1982,18,4,0
Reyes Monforte,https://lubimyczytac.pl/autor/45299/reyes-monforte,7.1,3067,4865,przybliżona),50,8,0
Pierre Lemaitre,https://lubimyczytac.pl/autor/61697/pierre-lemaitre,7.2,3519,7008,19.04.1951,188,14,1
Gösta Knutsson,https://lubimyczytac.pl/autor/30718/gosta-knutsson,7.1,1968,246,12.10.1908,3,11,0
Aleksander Puszkin,https://lubimyczytac.pl/autor/20821/aleksander-puszkin,7.2,4446,6356,06.06.1799,117,76,0
Marcin Świetlicki,https://lubimyczytac.pl/autor/19608/marcin-swietlicki,7.1,4217,6516,24.12.1961,512,52,3
James Pearson,https://lubimyczytac.pl/autor/174271/james-pearson,6.5,1370,693,24.12.1961,1,1,0
Vikas Swarup,https://lubimyczytac.pl/autor/24596/vikas-swarup,7.4,1586,1047,01.01.1963,17,4,0
Andre Agassi,https://lubimyczytac.pl/autor/54645/andre-agassi,8.1,1303,847,01.01.1963,0,1,0
Don Miguel Ruiz,https://lubimyczytac.pl/autor/9899/don-miguel-ruiz,7.4,1739,2973,27.08.1952,51,9,0
Dustin Thao,https://lubimyczytac.pl/autor/209319/dustin-thao,6.9,1339,1421,27.08.1952,10,2,0
Jennifer E. Smith,https://lubimyczytac.pl/autor/61806/jennifer-e-smith,6.7,3163,4666,27.08.1952,32,12,0
Magdalena Tulli,https://lubimyczytac.pl/autor/19296/magdalena-tulli,6.4,3379,3468,27.08.1952,73,11,4
Jacek Walkiewicz,https://lubimyczytac.pl/autor/77184/jacek-walkiewicz,7.4,1975,2469,27.08.1952,67,5,0
Marie Tourell Søderberg,https://lubimyczytac.pl/autor/136921/marie-tourell-soderberg,5.7,1472,894,26.07.1988,2,1,0
Danielle Trussoni,https://lubimyczytac.pl/autor/41005/danielle-trussoni,6.7,1448,1277,09.11.1973,19,3,0
Trygve Gulbranssen,https://lubimyczytac.pl/autor/36656/trygve-gulbranssen,7.6,1292,2811,15.06.1894,24,2,0
Hendrik Groen,https://lubimyczytac.pl/autor/129312/hendrik-groen,6.9,1542,2286,przybliżona),17,4,0
David Hewson,https://lubimyczytac.pl/autor/19767/david-hewson,6.8,2300,3961,09.01.1953,62,14,0
William Seward Burroughs,https://lubimyczytac.pl/autor/30929/william-seward-burroughs,6.7,2999,6313,05.02.1914,172,20,0
